gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_tech_support,fiber_no_security,senior_mtm
0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,4017.45,0,2,5,0.9954285289526499,1,0,0
0,0,0,0,65,1,0,0,2,2,2,2,2,2,2,1,0,84.85,5459.2,0,2,8,0.9898372693894202,0,0,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,2,20.35,1354.4,0,2,1,0.9243789243789244,0,0,0
1,0,1,1,68,1,0,0,0,0,2,2,2,2,2,1,0,72.95,4953.25,0,2,6,0.9985183243962423,0,0,0
1,0,1,1,12,0,1,0,0,2,0,2,0,0,0,0,3,35.5,432.25,0,1,3,1.0146713615023475,0,0,0
0,0,1,0,39,1,0,1,2,0,2,2,2,2,1,1,1,104.7,4134.85,1,2,7,1.0126245928538193,0,0,0
0,0,1,0,46,1,0,0,0,2,0,2,2,0,2,1,1,64.2,3009.5,0,2,5,1.019064066097792,0,0,0
0,0,1,0,71,0,1,0,0,2,2,2,2,2,2,1,1,61.4,4310.35,0,2,6,0.9887484516217829,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,69.7,69.7,1,0,2,1.0,1,1,0
1,0,1,1,16,1,0,0,2,2,0,0,0,0,1,1,3,55.85,857.8,0,1,4,0.9599373321396597,1,0,0
0,0,1,0,11,1,2,1,0,0,0,0,2,2,0,1,2,94.0,1078.9,1,3,5,1.043423597678917,1,1,0
0,0,0,0,18,1,0,1,2,0,0,0,0,0,0,1,2,75.4,1380.4,0,1,3,1.017094017094017,1,0,0
1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,104.8,7470.1,0,2,7,0.9899941687871079,1,1,0
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,46.0,492.1,0,3,2,1.0697826086956521,1,0,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.9,20.9,1,0,1,1.0,0,0,0
0,0,1,0,21,1,2,1,2,0,2,0,2,2,0,1,0,104.4,2200.25,1,1,7,1.003580550994344,1,0,0
1,0,0,0,32,1,0,1,0,0,0,0,2,2,0,0,2,91.05,2871.5,0,2,4,0.9855505216913784,1,1,0
0,0,0,0,18,1,0,1,0,0,0,0,0,0,0,1,2,69.8,1221.65,0,1,2,0.9723416109519263,1,1,0
1,0,0,0,72,1,2,1,2,2,2,2,2,2,2,1,2,118.2,8547.15,0,2,9,1.0043182459108855,0,0,0
0,1,0,0,10,1,0,1,0,0,2,0,0,2,0,1,1,84.6,865.55,1,3,4,1.0231087470449172,1,1,1
1,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.15,802.35,0,2,1,0.971191672214489,0,0,0
0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,0,2,40.1,40.1,1,0,3,1.0,0,0,0
0,0,1,1,16,1,0,1,0,2,0,0,0,0,0,0,0,73.25,1195.75,0,1,3,1.0202645051194539,1,1,0
1,1,0,0,8,1,0,1,0,0,0,0,0,0,0,1,2,69.7,560.85,1,3,2,1.0058285509325682,1,1,1
1,0,0,1,6,1,0,1,0,0,2,0,2,2,0,0,3,94.5,575.45,1,3,5,1.0149029982363316,1,1,0
1,0,0,0,54,1,0,1,2,2,0,2,2,2,1,1,1,105.4,5643.4,1,2,7,0.9915313795769203,0,0,0
1,1,0,0,24,1,2,1,0,2,0,0,2,2,0,1,2,101.25,2440.15,1,2,6,1.0041769547325103,1,1,1
0,0,0,0,23,1,0,2,1,1,1,1,1,1,1,1,1,19.65,478.1,0,1,1,1.0578603827857065,0,0,0
1,0,0,1,45,1,2,1,0,0,2,0,2,2,2,0,0,99.7,4634.35,0,2,6,1.0329544188119917,1,1,0
0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,1,2,45.45,411.75,0,3,2,1.1324257425742574,1,0,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1,0,1,1.0,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,44.9,44.9,1,0,2,1.0,1,0,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1493.75,0,2,1,0.9879298941798942,0,0,0
0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,45.0,127.1,1,0,2,0.9414814814814815,1,0,1
